Product Name,Price,Model,Production Country,(L x W x H cm),Color,Main Material,RAM,SIM,Size,memory
Samsung Galaxy A15 – 6.5 Inch - 128GB/4GB RAM - 4G - Dual SIM Mobile Phone – Light Blue,"EGP 6,499.00", Samsung Galaxy A15,Egypt,160.1 x 76.8 x 8.4 mm,Light Blue,"Glass front, plastic back, plastic frame",4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 – 6.5 Inch - 128GB/6GB RAM - 4G - Dual SIM Mobile Phone – Light Blue,"EGP 7,089.00", Samsung Galaxy A15,Egypt,160.1 x 76.8 x 8.4 mm,Light Blue,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 – 6.5 Inch - 128GB/6GB RAM - 4G - Dual SIM Mobile Phone - Blue Black,"EGP 7,089.00", Samsung Galaxy A15,Egypt,160.1 x 76.8 x 8.4 mm,Blue Black,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 – 6.5 Inch - 128GB/4GB RAM - 4G - Dual SIM Mobile Phone - Blue Black,"EGP 6,499.00", Samsung Galaxy A15,Egypt,160.1 x 76.8 x 8.4 mm,Blue Black,"Glass front, plastic back, plastic frame",4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A34 – 6.6 Inch - 128GB/8GB RAM - 5G - Dual SIM Mobile Phone - Graphite,"EGP 11,849.00", Samsung Galaxy A34,Egypt,161.3 x 78.1 x 8.2,Graphite,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A34 – 6.6 Inch - 128GB/8GB RAM - 5G - Dual SIM Mobile Phone – Awesome Lime,"EGP 11,849.00", Samsung Galaxy A34,Egypt,161.3 x 78.1 x 8.2,Light Green,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,128GB
"Samsung Galaxy A25 - 6.5"" 256GB 8GB RAM Dual SIM 5G Mobile Phone - Blue","EGP 12,699.00", Samsung Galaxy A25,Egypt,161 x 76.5 x 8.3 mm,Blue,"Glass front, plastic frame, plastic back",8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A15 - 6.5-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Blue Black,"EGP 8,699.00", Samsung Galaxy A15,China,-,Blue Black,-,8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A15 - 6.5-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 8,699.00", Samsung Galaxy A15,China,-,Light Blue,-,8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A15 - 6.5-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Blue Black,"EGP 6,488.00", Samsung Galaxy A15,China,-,Blue Black,-,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A24 - 6.5-inch 128GB/6GB Dual Sim 4G Mobile Phone - Silver,"EGP 8,399.00", Samsung Galaxy A24,-,-,Silver,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 - 6.5-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 6,499.00", Samsung Galaxy A15,China,-,Light Blue,-,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Iceblue,"EGP 14,699.00", Samsung Galaxy A35,Egypt,-,Iceblue,-,8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A15 - 6.5-inch 6GB/128GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 7,399.00", Samsung Galaxy A15,China,-,Light Blue,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 - 6.5-inch 6GB/128GB Dual Sim 4G - Mobile Phone - Blue Black,"EGP 7,399.00", Samsung Galaxy A15,China,-,Blue Black,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A05s - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Silver,"EGP 5,699.00", Samsung Galaxy A05s,China,-,Silver,-,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A25 5G - 6.5-inch 256GB/8GB Dual Sim - Mobile Phone - Blue Black,"EGP 11,149.00", Samsung Galaxy A25,China,-,Blue Black,-,8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A05s - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Silver,"EGP 6,212.00", Samsung Galaxy A05s,China,-,Silver,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy  A34- 6.6 Inch- Dual SIM 5G 128GB/8GB - Mobile Phone- Awesome Graphite,"EGP 11,845.00", Samsung Galaxy A3,Egypt,161.3 x 78.1 x 8.2 mm,Graphite,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A05s - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Light Violet,"EGP 6,249.00", Samsung Galaxy A05s,China,-,Black,-,6GB RAM,Dual,6.5 in,128GB
"Samsung Galaxy S24 Ultra 5G 512GB ,12GB RAM - Titannium Black","EGP 59,699.00", Samsung Galaxy S24,-,162.3 x 79 x 8.6 mm,Titannium Black,-,12GB RAM,-, -,512GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Navy,"EGP 14,999.00", Samsung Galaxy A35,Egypt,-,Navy,-,8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy  A32 6GB RAM- 128GB AWESOME BLACK,"EGP 9,270.00", Samsung Galaxy A32,-,-,BLACK,-,6GB RAM,-, -,128GB
Samsung Galaxy A13 - 6.6-inch 4GB-64GB Dual Sim 4G-WHITE,"EGP 5,710.00", Samsung Galaxy A13,Vietnam,165.1x76.4x8.8 mm,WHITE,-,4GB RAM,Dual,6.6 in,64GB
Samsung Galaxy A13 - 6.6-inch 4GB-64GB Dual Sim 4G- BLUE,"EGP 5,710.00", Samsung Galaxy A13,Vietnam,165.1x76.4x8.8,BLUE,-,4GB RAM,Dual,6.6 in,64GB
Samsung Galaxy M34 - 6.5 Inch Dual SIM 5G 128GB/8GB Mobile Phone - Waterfall Blue,"EGP 10,899.00", Samsung Galaxy M34,Vietnam,161.7 x 77.2 x 8.8 mm,Blue,-,8GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 - 6GB RAM - 128GB - Blue Black,"EGP 7,499.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Blue Black,"Glass front, plastic back, plastic frame",6GB RAM,-,6.3 in,128GB
Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"EGP 6,199.00", Samsung Galaxy A14,-,-,Black,-,4GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A15 - 8GB RAM - 256GB - Blue Black,"EGP 8,999.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Blue Black,N\A,8GB RAM,-,6.3 in,256GB
Samsung Galaxy A25 5G - 6.5-inch 256GB/8GB Dual Sim - Mobile Phone - Yellow,"EGP 11,149.00", Samsung Galaxy A25,China,-,Yellow,-,8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A13 - 6.6-inch 4GB-64GB Dual Sim 4G-Black,"EGP 5,710.00", Samsung Galaxy A13,Vietnam,165.1x76.4x8.8 mm,Black,-,4GB RAM,Dual,6.6 in,64GB
Samsung Galaxy  A05s 6GB RAM 128GB ROM BLACK,"EGP 6,399.00", Samsung Galaxy A05s,-,-,BLACK,-,6GB RAM,-, -,128GB
"Samsung Galaxy S23 Ultra - 6.8"" 256GB/12GB Dual SIM 5G Mobile Phone - Phantom Black","EGP 40,333.00", Samsung Galaxy S23,Vietnam,163.4 x 78.1 x 8.9 mm,Phantom Black,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",12GB RAM,Dual,6.8 in,256GB
Samsung Galaxy A24 6.5 Inch - 4G 128GB/8GB Mobile Phone - Silver,"EGP 12,000.00", Samsung Galaxy A24,-,-,Silver,N/a,8GB RAM,-,6.5 in,128GB
Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/4GB - Black,"EGP 5,672.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8,Black,"Glass front, plastic back, plastic frame",4GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A15 - 6.5-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Yellow,"EGP 8,699.00", Samsung Galaxy A15,China,-,Yellow,-,8GB RAM,Dual,6.5 in,256GB
"Samsung Galaxy A15 4G Dual Sim, 6GB RAM, 128GB, 5000mAh - Light Blue","EGP 7,499.00", Samsung Galaxy A15,China,-,Light Blue,-,6GB RAM,Dual, -,128GB
Samsung Galaxy A15 - 4GB RAM - 128GB - Light Blue,"EGP 6,799.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Light Blue,N\A,4GB RAM,-,6.3 in,128GB
Samsung Galaxy A13 - 6.6-inch 4GB-64GB Dual Sim 4G- PEACH,"EGP 5,710.00", Samsung Galaxy A13,Vietnam,165.1x76.4x8.8 mm,PEACH,-,4GB RAM,Dual,6.6 in,64GB
Samsung Galaxy  A34 - 6.6 Inch Dual SIM 5G 128GB/8GB -Mobile Phone - Awesome Silver,"EGP 11,990.00", Samsung Galaxy A34,Egypt,161.3 x 78.1 x 8.2 mm,Silver,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A55 - 6.6 Inch Dual SIM 5G 256GB/8GB -Mobile Phone- Awesome Iceblue,"EGP 18,450.00", Samsung Galaxy A55,-,161.1 x 77.4 x 8.2 mm,Ice blue,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A15 - 6.5 Inches -128GB-6GB Ram–4G Double Sim Mobile –Light Blue,"EGP 7,444.00", Samsung Galaxy A15,Egypt,160.1x76.8x8.4mm,Light Blue,plastic,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy  A34 - 6.6 Inch Dual SIM 5G 128GB/8GB -Mobile Phone - Awesome Silver,"EGP 11,990.00", Samsung Galaxy A34,Egypt,161.3 x 78.1 x 8.2 mm,Silver,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Lemon,"EGP 20,500.00", Samsung Galaxy A55,Egypt,161.1 x 77.4 x 8.2,Lemon,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A05 - 6.7 Inches - Dual Sim 4G 128GB/6GB - Light Green,"EGP 5,804.25", Samsung Galaxy A05,Egypt,-,Light Green,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A04s - 6.5-inch 3GB-32GB Dual Sim 4G Mobile Phone - Black,"EGP 5,600.00", Samsung Galaxy A04s,-,-,Black,N/a,3GB RAM,Dual,6.5 in,32GB
Samsung Galaxy A55 5G - 8GB RAM - 256GB - Awesome Navy,"EGP 21,199.00", Samsung Galaxy A55,China,161.1 x 77.4 x 8.2 mm (6.34 x 3.05 x 0.32 in),Navy,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,-,6.34 in,256GB
Samsung Galaxy  A14 - 6.6 Inch - Mobile Phone 4G - 128GB/4GB - Black.,"EGP 6,554.00", Samsung Galaxy A14,Egypt,167.7 x 78 x 9.1 mm,Black,"Glass front, plastic back, plastic frame",4GB RAM,-,6.6 in,128GB
Samsung Galaxy S24 Ultra - 6.8-inch 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Black,"EGP 59,999.00", Samsung Galaxy S24,China,-,Titanium Black,-,12GB RAM,Dual,6.8 in,256GB
Samsung Galaxy S24 Ultra - 6.8-inch 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Black,"EGP 59,999.00", Samsung Galaxy S24,China,-,Titanium Black,-,12GB RAM,Dual,6.8 in,256GB
Samsung Galaxy A15 - 6.5-inch 6GB/128GB Dual Sim 4G - Mobile Phone - Yellow,"EGP 7,369.00", Samsung Galaxy A15,China,-,Yellow,-,12GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A15 - 6GB RAM - 128GB - Light Blue,"EGP 7,499.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Light Blue,"Glass front, plastic back, plastic frame",6GB RAM,-,6.3 in,128GB
Samsung Galaxy A15 - 6GB RAM - 128GB - Light Blue,"EGP 7,499.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Light Blue,"Glass front, plastic back, plastic frame",6GB RAM,-,6.3 in,128GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Lemon,"EGP 14,999.00", Samsung Galaxy A35,Egypt,-,Lemon,-,8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A55 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Lemon,"EGP 18,999.00", Samsung Galaxy A55,Egypt,-,Lemon,-,8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A05s - 6.7 Inches -128GB-4GB Ram–4G Double Sim Mobile –Black,"EGP 5,899.00", Samsung Galaxy A05s,Egypt,168x77.8x8.8 ملم,Black,plastic,4GB RAM,Dual,6.7 in,128GB
"Samsung Galaxy A15 - 6.5"" 256GB 8GB Dual SIM 4G Mobile Phone - Black","EGP 9,099.00", Samsung Galaxy A15,Egypt,160.1 x 76.8 x 8.4 mm,Black,"Glass front, plastic back, plastic frame",8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy S24 Ultra - 6.8-inch 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Gray,"EGP 59,999.00", Samsung Galaxy S24,China,-,Titanium Gray,-,12GB RAM,Dual,6.8 in,256GB
Samsung Galaxy S24 Ultra - 6.8-inch 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Gray,"EGP 59,999.00", Samsung Galaxy S24,China,-,Titanium Gray,-,12GB RAM,Dual,6.8 in,256GB
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Copper,"EGP 5,600.00", Samsung Galaxy A04s,-,-,Copper,N/a,3GB RAM,Dual,6.5 in,32GB
Samsung Galaxy A05 - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Black,"EGP 5,799.00", Samsung Galaxy A05,China,-,Black,-,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A24 6.5 Inch - 4G 128GB/8GB Mobile Phone - Black,"EGP 12,000.00", Samsung Galaxy A24,-,-,Black,N/a,8GB RAM,-,6.5 in,128GB
Samsung Galaxy A35 Mobile Phone- 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Ice Blue,"EGP 13,475.00", Samsung Galaxy A35,Egypt,161.7 x 78 x 8.2,Ice Blue,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,Dual,6.6 in,128GB
"Samsung Galaxy A05s - 6.7"" 128GB/4GB Dual SIM 4G Mobile Phone - Black","EGP 5,689.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm,Black,"Glass front, plastic back, plastic frame",4GB RAM,Dual,6.7 in,128GB
Samsung Galaxy M34 -6.5 Inch Dual SIM 5G 128GB/6GB Mobile Phone- Waterfall Blue,"EGP 12,500.00", Samsung Galaxy M34,Vietnam,161.7 x 77.2 x 8.8 mm,Blue,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Lemon,"EGP 13,499.00", Samsung Galaxy A35,Egypt,-,Lemon,-,8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy  Tab A9 8.7 Inch Single SIM 4G 128GB/8GB -Tablet - Silver,"EGP 9,430.00", Samsung Galaxy Tab,China,211 x 124.7 x 8 mm,Silver,-,8GB RAM,-,8.7 in,128GB
Samsung Galaxy A05s - 128GB 6GB RAM - Dual SIM 4G Mobile Phone - Black,"EGP 6,666.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm,Black,"Glass front, plastic back, plastic frame",6GB RAM,Dual, -,128GB
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Navy,"EGP 20,056.00", Samsung Galaxy A55,Egypt,161.1 x 77.4 x 8.2,Navy,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,256GB
